task_id,task_name,base_index,repeat_index,repeat_total,gpu_id,return_code,elapsed_sec,started_at,dry_run,log_path,command
1,blue_splicing_promptad,1,1,10,0,0,190.974,2026-03-18 20:42:59,0,logs/multi_gpu_work_queue/20260318_204251/gpu_0/task_0001.log,python train_hybrid.py --data_name blue_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
2,blue_splicing_promptad,1,2,10,1,0,191.97,2026-03-18 20:42:59,0,logs/multi_gpu_work_queue/20260318_204251/gpu_1/task_0002.log,python train_hybrid.py --data_name blue_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
3,blue_splicing_promptad,1,3,10,2,0,190.083,2026-03-18 20:42:59,0,logs/multi_gpu_work_queue/20260318_204251/gpu_2/task_0003.log,python train_hybrid.py --data_name blue_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
4,blue_splicing_promptad,1,4,10,3,0,189.41,2026-03-18 20:42:59,0,logs/multi_gpu_work_queue/20260318_204251/gpu_3/task_0004.log,python train_hybrid.py --data_name blue_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
5,blue_splicing_promptad,1,5,10,3,0,184.141,2026-03-18 20:46:08,0,logs/multi_gpu_work_queue/20260318_204251/gpu_3/task_0005.log,python train_hybrid.py --data_name blue_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
6,blue_splicing_promptad,1,6,10,2,0,188.924,2026-03-18 20:46:09,0,logs/multi_gpu_work_queue/20260318_204251/gpu_2/task_0006.log,python train_hybrid.py --data_name blue_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
7,blue_splicing_promptad,1,7,10,0,0,188.136,2026-03-18 20:46:09,0,logs/multi_gpu_work_queue/20260318_204251/gpu_0/task_0007.log,python train_hybrid.py --data_name blue_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
8,blue_splicing_promptad,1,8,10,1,0,183.866,2026-03-18 20:46:10,0,logs/multi_gpu_work_queue/20260318_204251/gpu_1/task_0008.log,python train_hybrid.py --data_name blue_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
9,blue_splicing_promptad,1,9,10,3,0,181.514,2026-03-18 20:49:12,0,logs/multi_gpu_work_queue/20260318_204251/gpu_3/task_0009.log,python train_hybrid.py --data_name blue_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
10,blue_splicing_promptad,1,10,10,1,0,184.42,2026-03-18 20:49:14,0,logs/multi_gpu_work_queue/20260318_204251/gpu_1/task_0010.log,python train_hybrid.py --data_name blue_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
11,blue_splicing_winclip,2,1,10,2,0,212.227,2026-03-18 20:49:18,0,logs/multi_gpu_work_queue/20260318_204251/gpu_2/task_0011.log,python train_hybrid.py --data_name blue_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
12,blue_splicing_winclip,2,2,10,0,0,214.543,2026-03-18 20:49:18,0,logs/multi_gpu_work_queue/20260318_204251/gpu_0/task_0012.log,python train_hybrid.py --data_name blue_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
13,blue_splicing_winclip,2,3,10,3,0,211.373,2026-03-18 20:52:14,0,logs/multi_gpu_work_queue/20260318_204251/gpu_3/task_0013.log,python train_hybrid.py --data_name blue_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
14,blue_splicing_winclip,2,4,10,1,0,210.646,2026-03-18 20:52:19,0,logs/multi_gpu_work_queue/20260318_204251/gpu_1/task_0014.log,python train_hybrid.py --data_name blue_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
15,blue_splicing_winclip,2,5,10,2,0,214.557,2026-03-18 20:52:50,0,logs/multi_gpu_work_queue/20260318_204251/gpu_2/task_0015.log,python train_hybrid.py --data_name blue_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
16,blue_splicing_winclip,2,6,10,0,0,234.139,2026-03-18 20:52:52,0,logs/multi_gpu_work_queue/20260318_204251/gpu_0/task_0016.log,python train_hybrid.py --data_name blue_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
17,blue_splicing_winclip,2,7,10,3,0,211.22,2026-03-18 20:55:45,0,logs/multi_gpu_work_queue/20260318_204251/gpu_3/task_0017.log,python train_hybrid.py --data_name blue_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
18,blue_splicing_winclip,2,8,10,1,0,228.936,2026-03-18 20:55:49,0,logs/multi_gpu_work_queue/20260318_204251/gpu_1/task_0018.log,python train_hybrid.py --data_name blue_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
19,blue_splicing_winclip,2,9,10,2,0,141.684,2026-03-18 20:56:24,0,logs/multi_gpu_work_queue/20260318_204251/gpu_2/task_0019.log,python train_hybrid.py --data_name blue_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
20,blue_splicing_winclip,2,10,10,0,0,209.159,2026-03-18 20:56:46,0,logs/multi_gpu_work_queue/20260318_204251/gpu_0/task_0020.log,python train_hybrid.py --data_name blue_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
21,red_splicing_promptad,3,1,10,2,0,200.325,2026-03-18 20:58:46,0,logs/multi_gpu_work_queue/20260318_204251/gpu_2/task_0021.log,python train_hybrid.py --data_name red_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
22,red_splicing_promptad,3,2,10,3,0,193.53,2026-03-18 20:59:16,0,logs/multi_gpu_work_queue/20260318_204251/gpu_3/task_0022.log,python train_hybrid.py --data_name red_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
23,red_splicing_promptad,3,3,10,1,0,195.878,2026-03-18 20:59:38,0,logs/multi_gpu_work_queue/20260318_204251/gpu_1/task_0023.log,python train_hybrid.py --data_name red_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
24,red_splicing_promptad,3,4,10,0,0,195.946,2026-03-18 21:00:15,0,logs/multi_gpu_work_queue/20260318_204251/gpu_0/task_0024.log,python train_hybrid.py --data_name red_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
25,red_splicing_promptad,3,5,10,2,0,200.177,2026-03-18 21:02:06,0,logs/multi_gpu_work_queue/20260318_204251/gpu_2/task_0025.log,python train_hybrid.py --data_name red_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
26,red_splicing_promptad,3,6,10,3,0,226.369,2026-03-18 21:02:30,0,logs/multi_gpu_work_queue/20260318_204251/gpu_3/task_0026.log,python train_hybrid.py --data_name red_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
27,red_splicing_promptad,3,7,10,1,0,224.649,2026-03-18 21:02:54,0,logs/multi_gpu_work_queue/20260318_204251/gpu_1/task_0027.log,python train_hybrid.py --data_name red_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
28,red_splicing_promptad,3,8,10,0,0,219.43,2026-03-18 21:03:31,0,logs/multi_gpu_work_queue/20260318_204251/gpu_0/task_0028.log,python train_hybrid.py --data_name red_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
